Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ,OT,Throughput
2020.02.13_13.59.29,-8.394564,51.886198,0,B,11,5G,-101,-14,2,14,-103,17651,66,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,17717,17717
2020.02.13_13.59.30,-8.394564,51.886198,0,B,11,5G,-101,-14,2,14,-103,28859,155,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,29014,29014
2020.02.13_13.59.32,-8.394564,51.886198,0,B,11,5G,-98,-14,-3,10,-103,36548,158,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,36706,36706
2020.02.13_13.59.33,-8.394564,51.886198,0,B,11,5G,-98,-14,-3,10,-103,45152,178,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-12,45330,45330
2020.02.13_13.59.34,-8.394564,51.886198,0,B,11,5G,-100,-14,4,13,-103,50473,166,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,50639,50639
2020.02.13_13.59.35,-8.394564,51.886198,0,B,11,5G,-100,-14,4,13,-103,60506,194,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,60700,60700
2020.02.13_13.59.38,-8.394564,51.886198,0,B,11,5G,-100,-14,-3,9,-103,2017,9,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-13,2026,2026
2020.02.13_13.59.38,-8.394564,51.886198,0,B,11,5G,-100,-14,-3,9,-103,2017,9,D,72,70,73,1,0,B,A4DF,9CBA,10805003,-104,-13,2026,2026
2020.02.13_13.59.39,-8.394564,51.886198,0,B,11,5G,-102,-12,0,12,-103,4338,88,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-10,4426,4426
2020.02.13_13.59.40,-8.394564,51.886198,0,B,11,5G,-102,-12,0,12,-103,19994,125,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-10,20119,20119
2020.02.13_13.59.41,-8.394564,51.886198,0,B,11,5G,-102,-12,5,11,-103,20743,69,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,20812,20812
2020.02.13_13.59.42,-8.394564,51.886198,0,B,11,5G,-102,-12,5,11,-103,20854,70,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,20924,20924
2020.02.13_13.59.44,-8.394564,51.886198,0,B,11,5G,-102,-12,-2,12,-103,18798,66,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,18864,18864
2020.02.13_13.59.45,-8.394564,51.886198,0,B,11,5G,-102,-12,-2,12,-103,19973,75,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,20048,20048
2020.02.13_13.59.46,-8.394564,51.886198,0,B,11,5G,-103,-14,-3,14,-103,20318,74,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-14,20392,20392
